day   A    mu   sigma   z   Power
58    0.1538740615498832    0.0629880232192275    0.045889403246429115    0.001802004189947593    3.3663220660792326
59    0.17581394028877506    0.06614908083143389    0.050040199609126645    0.0024214009570980343    3.4382705667383786
60    0.11338981595043679    0.06480081989009198    0.04144423440923223    0.0020611596638329057    3.123298204209801
61    0.14844797666449558    0.06913240414898413    0.04617342027166164    0.0013884433909482192    3.3026869800811918
62    0.1539863641590416    0.07697393620163573    0.053830116319500874    0.0020910017021560736    3.168378855236941
63    0.14115885369290276    0.07746810683928122    0.05363416952527271    0.00126289426239881    3.066271484909988
64    0.1318154945094912    0.07952627958262437    0.053064732332559185    0.0030703462602750826    3.0296008640580014
65    0.08411179939324853    0.08301871317613549    0.04960802849849483    0.004043891181485741    2.7251283893274088
66    0.11224694026651166    0.08178010881860748    0.0578754003453723    0.0011419447597037285    2.7876956186740953
67    0.12855906721468816    0.0890723423810455    0.06159547082932046    0.0008780239902430121    2.8425103260794815
68    0.1197035078047618    0.09913704666073342    0.0642223840173661    0.0011894514953494453    2.755582880585657
69    0.2696904753375472    0.1263811750230515    0.19751991325963006    0.0015678392154231287    2.5571149365565966
70    0.12609415264152038    0.11445561369912553    0.08746581654135792    0.001277349878800313    2.5862910634224194
71    0.22266516854358098    0.16773115706032848    0.20151330786950894    0.001873579994617021    2.451987426107066
72    2.7915014109969185    0.9599674486099024    0.4616698225967304    0.0021650730323098276    4.414472673210098
73    0.17183682951526474    0.16907308658881126    0.1513442245326892    0.0015118180295982876    2.46190244060266
74    0.17140112413105474    0.18204344351055546    0.1631166917994221    0.0012901720468037879    2.4262910777468685
75    0.2446571311209801    0.3171542476178292    0.22480529378607075    0.002346115545363794    2.4415689946744603
76    0.0845894306667605    0.19039663288011893    0.1235251443962091    0.0015746400419485523    2.2814640884347397
77    0.08290188954916744    0.18450442400660041    0.16322811338553694    0.0009877140029837276    2.207972039530954
78    0.11464380500421145    0.16324667762077202    0.1865830240480908    0.0010857359783759289    2.251776412853299
79    0.5230206994059894    0.5182629838391276    0.23885736306843736    0.0010597885579806416    2.875599997565624
80    0.039354778879843816    0.11661419927941798    0.0677842269019496    0.0014777015680719346    2.244293225736172
81    0.0844544627364482    0.16239020892958972    0.19225405455852573    0.0009941905314012351    2.1813718829315603
82    0.07519525503883029    0.12050720300852398    0.19799939694299257    0.0008188919163175379    2.1583037505128764
83    0.016180026339635556    0.15352396069692412    0.23937405782605603    0.0018447962499053296    2.0389820725519616
84    -0.009963506942192751    0.14924370799705802    0.24651517913077642    0.0019454838287584048    1.9969114003286852
85    0.066231360527748    0.2292500435661544    0.15746722207481242    0.0016703770522810504    2.1750830292221353
86    0.04615088772413328    0.19755984186761694    0.14957825235778852    0.0019625902355285057    2.133023843577771
87    0.6189005346909342    -0.8012605921523559    0.4655147773405355    0.001657070141608247    2.5283245158348353
88    0.0479108219158685    0.13873372667654243    0.2528801393196427    0.0015105364117809618    2.0864718681386463
89    0.0010283995307448293    0.14671540638368497    0.23548504054703792    0.0038595134401968444    2.0280483649478014
90    0.025428778953035386    0.13155877136429975    0.2600119546235452    0.0012488205576316998    2.048508448110661
91    0.047710572752201974    0.15439581733968258    0.23650059021826167    0.001039727627800024    2.087215003445598
92    0.03709034494106619    0.12933140844031307    0.258509700249391    0.0012237485176813975    2.066701384912782
93    0.826168825027799    0.6430604439627204    0.2142548892402652    0.00202502777409143    3.5414741526374316
94    -0.031984188063078504    0.16576169627016069    0.24335856286198074    0.0014220779443876014    1.9561467678618611
95    0.044933390113884336    0.12828055787868947    0.2590744431005678    0.0011588797316162594    2.0782257547457195
96    0.04179388597927774    0.1388592889438419    0.25338803866716375    0.0015881608936426342    2.077238834656991
97    0.020210152879428334    0.19842681884110697    0.16527829425924517    0.001412964508051341    2.0559033106789197
98    0.013657094107110088    0.15116472232871964    0.24374395013864064    0.0010280041767938707    2.0291534894437278
99    0.02831745780241534    0.1516915432268287    0.24297000252346732    0.0010391490353345379    2.0533459884922225
100    0.12415675701404913    0.3226095073147778    0.08778962972332433    0.001647665112251947    2.5693126663431043
101    -0.043035958073820726    -0.0419298388584229    0.034306554111199275    0.0016773653808962808    1.459541580764204
102    -0.17031533755930303    -0.19241578840830403    0.12296379202893731    0.0020071645682466404    1.4369995300170617
103    0.00836609093617589    0.15167688014388556    0.24017475180170406    0.001923162713881603    2.0265758355310552
104    0.039560814004622906    0.13827825109492842    0.25084537100694193    0.0018605204854481956    2.0763720752186057
105    -0.006247130093731172    0.15576871673552195    0.2455893441311196    0.001094401906836095    1.996877798295883
106    0.27872242280048515    -0.5800350748122673    0.35847972449614085    0.005464128438143055    2.3007622194170554
107    0.025919965958416023    0.12984254314147237    0.25979889789842237    0.0022000307747484958    2.0567460462746165
108    -0.03196172237808487    0.2322067615634379    0.15447964250125187    0.0016486391284915051    1.924559016498105
109    -0.11545698272577594    0.30652241449197826    0.07438970097662817    0.0013507351662928396    1.3852258787820393
110    0.02610693683506748    0.1303707172264617    0.2585083399714145    0.001806775601372261    2.05414821128851
111    0.03898517499158262    0.13059076223495153    0.2577672046813193    0.0008091131786701826    2.0665325388342484
112    0.04575451449451749    0.2210075539969545    0.08946063876821136    0.0010365756084431245    2.2087286801910735
113    -0.024143744504859472    0.07407471537787602    0.06129677346750527    0.0016931320695713391    1.8657205842976214
114    0.001302147269983788    0.14923720223942716    0.24514281234431762    0.0015042564085898146    2.012198732035078
115    -0.04209416742809191    -0.06687119521320048    0.12688078813917716    0.001050343551169936    1.8519393237279742
116    0.006713496706895562    0.1490850218955062    0.2464418159204135    0.0007770713196542842    2.016080139822597
117    0.0036180329363005464    0.14910243652984279    0.24641111069748922    0.0019481768647629618    2.018923664557788
118    0.05403506523090959    0.30191387840840495    0.11894550723104282    0.0009067907474008168    2.1842366516999676
119    0.032408666228140835    0.13028061729771834    0.2576958758668704    0.0015170697406396184    2.0618169017717967
120    0.019227455675078577    0.24644658656013965    0.15911961241569783    0.0015971317668939905    2.054687426079316
121    -0.030528369171633936    0.1640927543178251    0.230390523311027    0.0007430250443966522    1.9516654138454044
122    -0.09306324034169378    -0.06195162767311384    0.04301437465226973    0.0012420233068152218    1.1168248830931393
123    0.032716846813508685    0.13236908817777931    0.2638704220497272    0.000561914892242038    2.053709239101174
124    0.09803378995799389    0.37177854537356414    0.11281810806820611    0.003274820861485345    2.355471170454809
125    -0.04734239682310981    0.2722330248730806    0.10411177818376685    0.0027132779173108935    1.8285570737764765
126    0.018903974183247817    0.1506518696129263    0.2434051482984198    0.0014841398847708857    2.0408351636496342
127    0.04773168148177186    0.12918194392061605    0.2584254580548413    0.000830110094473407    2.0801113088720777
128    -0.19579418565696727    0.07890664475825272    0.3088415200566641    0.0010002005125104643    1.7597609850855553
129    0.02836812515023212    0.1515658551899358    0.24321567785350345    0.0009589969987708224    2.0528589857563397
130    -0.09758274955850549    0.15449016668743604    0.2494687388236223    0.0014023023880254549    1.85302581434815
